n_estimators,Accuracy,Training Time (sec),Accuracy (%)
50,0.8898308572369233,29.152066230773926,88.98308572369234
100,0.8941520227169842,72.09277176856995,89.41520227169842
150,0.8958804889090086,124.27279257774353,89.58804889090086
200,0.8960039507798675,162.10991311073303,89.60039507798675
