accuracy,loss,val_accuracy,val_loss
0.2955527603626251,1.7989429235458374,0.39310699701309204,1.5618385076522827
0.41241833567619324,1.5143587589263916,0.4916152358055115,1.33974027633667
0.46474871039390564,1.3944377899169922,0.5170267224311829,1.26064932346344
0.510185718536377,1.2876042127609253,0.5668724179267883,1.1607238054275513
0.5443952679634094,1.1922314167022705,0.5580247044563293,1.1733357906341553
0.5839678049087524,1.1014775037765503,0.644753098487854,0.9578762054443359
0.5840063691139221,1.1270595788955688,0.6462448835372925,0.9377639293670654
0.5559056401252747,1.1968417167663574,0.6276748776435852,0.9999628067016602
0.6213025450706482,1.0015417337417603,0.6753600835800171,0.8885313272476196
0.6258423924446106,1.0037000179290771,0.639763355255127,0.9341944456100464
0.6558851003646851,0.9232877492904663,0.7023662328720093,0.7764028310775757
0.6682313680648804,0.88763028383255,0.7176440358161926,0.7438066601753235
0.6832913160324097,0.8510685563087463,0.6800925731658936,0.9040215015411377
0.6945959329605103,0.8192642331123352,0.7415637969970703,0.6878768801689148
0.6871623992919922,0.8436692953109741,0.7147634029388428,0.7406200170516968
0.6936313509941101,0.8273714184761047,0.7455247044563293,0.695984959602356
0.707456648349762,0.7968103885650635,0.6618826985359192,0.9113073348999023
0.7209604382514954,0.7464260458946228,0.7234053611755371,0.7315055131912231
0.724188506603241,0.7408345937728882,0.7601337432861328,0.6239109039306641
0.7181310653686523,0.7790064811706543,0.5888374447822571,1.1006112098693848
0.7301044464111328,0.7333964705467224,0.7442386746406555,0.6815810203552246
0.7380266189575195,0.707033097743988,0.7608538866043091,0.6335994005203247
0.7335897088050842,0.7285144925117493,0.7629114985466003,0.6322621703147888
0.7402515411376953,0.7034040093421936,0.7804526686668396,0.5846280455589294
0.7451515197753906,0.687309980392456,0.7752057909965515,0.5913527607917786
0.7517876625061035,0.6760093569755554,0.43019548058509827,2.5848233699798584
0.719558596611023,0.7683573961257935,0.770061731338501,0.5894710421562195
0.7530994415283203,0.670097291469574,0.784207820892334,0.5637374520301819
0.7555558681488037,0.6577395796775818,0.7817901372909546,0.5593276619911194
0.7672848105430603,0.6207311153411865,0.7863683104515076,0.5553226470947266
0.7613046169281006,0.6467024683952332,0.7966563701629639,0.5277985334396362
0.765072762966156,0.6442421674728394,0.667129635810852,0.9288378357887268
0.7649441957473755,0.6409857273101807,0.7810184955596924,0.561181366443634
0.7781264185905457,0.6004605293273926,0.8104938268661499,0.5029675960540771
0.7759272456169128,0.6071309447288513,0.8125,0.495033860206604
0.7516590356826782,0.6861653327941895,0.8074073791503906,0.4930732846260071
0.7892767190933228,0.5714660286903381,0.8123971223831177,0.4853948652744293
0.7748855352401733,0.6168781518936157,0.7899177074432373,0.555498480796814
0.7902798652648926,0.5666155219078064,0.8293209671974182,0.45473748445510864
0.7939708828926086,0.5551506280899048,0.825308620929718,0.46631842851638794
0.7984207272529602,0.5500921010971069,0.8246913552284241,0.452828049659729
0.7991151809692383,0.5409500598907471,0.8189300298690796,0.46542656421661377
0.8009928464889526,0.5364134311676025,0.8203189373016357,0.4680120646953583
0.8055712580680847,0.525094211101532,0.8358539342880249,0.43280380964279175
0.8062143325805664,0.5191340446472168,0.818107008934021,0.49172618985176086
0.8088893294334412,0.5131444334983826,0.8390946388244629,0.42498984932899475
0.8090693950653076,0.5124278664588928,0.8269032835960388,0.4662780463695526
0.8091980218887329,0.5123094916343689,0.8064814805984497,0.5115754008293152
0.8153582811355591,0.4966585040092468,0.8203703761100769,0.46452486515045166
0.8156412243843079,0.49724945425987244,0.8302469253540039,0.4296819269657135
