n_neighbors,Accuracy,Training Time (sec),Accuracy (%)
1,0.8630807852174986,0.1320042610168457,86.30807852174986
3,0.8693361866743488,0.15689516067504883,86.93361866743487
5,0.8713115766080909,0.13100457191467285,87.1311576608091
7,0.8688423391909132,0.13100004196166992,86.88423391909133
9,0.8661261780320177,0.1110067367553711,86.61261780320177
11,0.8631219391744516,0.14004278182983398,86.31219391744516
13,0.8600765463599325,0.1415576934814453,86.00765463599325
15,0.8560023046215893,0.10413146018981934,85.60023046215893
