accuracy,loss,val_accuracy,val_loss
0.5308143496513367,1.3908092975616455,0.6382716298103333,1.1051322221755981
0.6206209063529968,1.1194452047348022,0.6807098984718323,0.9539132714271545
0.6584829688072205,1.002665400505066,0.7228909730911255,0.811760425567627
0.6908791661262512,0.8858081698417664,0.737191379070282,0.7317056655883789
0.718053936958313,0.7838128805160522,0.7607510089874268,0.6710571050643921
0.7403801679611206,0.7088693976402283,0.7931069731712341,0.5930811166763306
0.7582951784133911,0.6642466187477112,0.8129115104675293,0.5261253118515015
0.7718246579170227,0.6130719780921936,0.7965020537376404,0.5433688759803772
0.78510981798172,0.5680657625198364,0.8160493969917297,0.5132989287376404
0.7945110201835632,0.5459713935852051,0.8197016716003418,0.4795173406600952
