n_estimators,Accuracy,Training Time (sec),Accuracy (%)
50,0.6436478867443105,3368.0704474449158,64.36478867443105
100,0.7103584509650603,6569.879243373871,71.03584509650604
150,0.7492900942425614,12645.962336540222,74.92900942425614
200,0.7767809374871394,13070.672250270844,77.67809374871393
